,ZCTA5CE10,ct_06:00,ct_06:30,ct_07:00,ct_07:30,ct_08:00,ct_08:30,ct_09:00,ct_09:30
0,20903,35.9334,43.6932,46.8932,50.18660000000001,49.94000000000001,46.8766,41.290000000000006,36.91
1,20715,42.4998,48.84,55.5534,57.2766,57.8668,53.1632,46.0534,41.82680000000001
2,20716,39.6434,47.4834,54.26000000000001,56.0366,56.8734,51.8068,44.67999999999999,40.66
3,20720,38.2502,46.2368,50.6466,53.32680000000001,54.75660000000001,51.6768,43.6,39.79
4,20774,38.09660000000001,46.4934,52.10659999999999,55.9198,56.8066,51.9134,44.3232,40.6934
5,20781,26.2168,32.023399999999995,35.3202,38.0568,39.2702,39.5266,34.7366,30.6
6,20910,32.7868,36.4134,39.0332,42.08640000000001,44.5034,44.71999999999999,44.0734,43.4834
7,20782,36.3498,41.0766,44.7736,48.1632,50.1766,46.8368,41.3466,36.83640000000001
8,20772,40.4268,45.3332,51.89,52.4002,52.5,48.1964,43.5632,42.1234
10,20783,31.6498,36.19019999999999,38.1336,42.4198,47.3902,44.54340000000001,42.1,41.94000000000001
11,20784,24.7866,30.37,33.393600000000006,38.0034,38.7032,38.2268,33.47,28.9634
12,20785,25.7232,31.82,35.3732,40.383,40.2398,40.57,34.74999999999999,30.093000000000004
13,20724,39.7034,49.0134,52.34680000000001,56.05,55.9234,53.03680000000001,47.58320000000001,41.4168
14,20735,33.8034,40.6198,46.0502,48.790000000000006,49.6566,45.0134,38.2134,36.2366
15,20740,35.0002,43.18320000000001,45.8966,48.9634,48.69,45.40660000000001,40.1032,36.1866
16,20814,29.5234,29.9634,31.3236,33.4132,35.75660000000001,38.3732,36.88999999999999,34.846599999999995
17,20815,29.8034,30.4634,32.1198,33.38340000000001,37.12,40.3166,43.20360000000001,41.1868
18,20817,25.3232,25.6232,26.6166,27.9168,29.8936,31.83,30.2134,28.2034
19,20743,28.059999999999995,31.4966,35.04,38.7032,38.68980000000001,37.5466,33.1066,30.27
20,20744,27.6632,31.46,36.6332,42.6466,39.5066,37.3398,31.403600000000004,28.08
21,20745,18.4732,22.126600000000003,24.4732,29.3166,29.6934,29.9734,25.660000000000004,22.72
22,20746,22.193400000000004,25.8466,29.2934,35.0466,36.2366,32.7534,27.5832,23.7532
23,20850,31.0234,32.5366,36.1432,40.3432,43.40660000000001,45.2434,40.3968,37.6832
24,20851,37.71339999999999,39.15660000000001,42.9,46.7434,50.3632,50.56320000000001,47.31,43.81680000000001
25,20705,37.2732,45.44000000000001,48.43980000000001,51.8932,51.5866,47.8732,42.2634,37.86659999999999
26,20747,26.276599999999995,29.773200000000006,33.22000000000001,37.76000000000001,37.2866,36.3032,31.2966,28.8166
27,20748,26.6566,32.2632,36.64320000000001,41.22,42.15320000000001,38.7368,33.596799999999995,30.2702
28,20706,29.5166,38.5434,43.2934,46.0132,47.24679999999999,44.42999999999999,38.58,33.9
29,20707,43.51000000000001,51.25360000000001,55.9234,58.5834,58.1802,54.2732,49.5934,44.87000000000001
30,20708,37.1098,45.9366,48.7598,52.0898,51.4834,47.79,42.2498,37.8968
31,20710,23.3134,28.8166,31.93660000000001,36.47019999999999,37.2832,36.7802,31.910000000000004,27.5066
32,20852,31.05,32.2902,34.62,37.2868,39.7966,42.4532,39.1664,36.89
33,20853,39.28,40.6234,44.6534,49.1766,54.4668,53.8966,50.28340000000001,46.0902
34,20854,30.7502,31.0768,33.1134,36.2136,39.0568,39.2732,36.9266,34.67
35,20770,29.5734,38.39,40.6398,44.4366,44.0766,42.1002,37.49,33.3532
36,20877,38.7668,40.7466,46.4664,53.1832,55.81020000000001,54.97000000000001,49.469800000000006,45.383
37,20878,39.1234,40.24,44.7266,49.1232,52.8436,54.13,49.18,46.49
38,20886,40.7934,43.83,49.8068,56.82000000000001,59.1102,56.7732,51.42999999999999,46.67659999999999
39,20901,39.3734,47.29,50.2432,53.8532,53.5536,49.85000000000001,44.4602,40.4766
40,22309,25.5398,27.1166,29.873200000000004,35.5366,36.2434,34.44,31.51,30.8534
41,22310,20.8702,23.9064,28.9668,35.3034,34.773399999999995,30.573400000000003,25.4666,23.6866
42,22311,12.3502,13.360000000000005,15.35,19.1402,18.7934,18.1966,15.6334,13.53
43,22312,15.079999999999998,17.589999999999996,20.906600000000005,27.5768,26.0966,23.7498,18.19,15.723400000000002
44,22314,12.0166,11.8268,12.48,14.4402,16.2868,16.4232,14.7,13.8868
45,22315,22.880000000000006,26.81,31.2134,36.4134,35.94320000000001,33.8802,26.6036,24.0832
46,20120,38.62,42.3834,48.4366,54.64000000000001,54.54,50.7534,46.8266,50.1336
47,20147,43.17,43.4768,45.8366,51.6032,53.75,50.25,46.9598,49.2732
48,20148,40.3434,40.6132,41.9868,48.7734,51.0734,47.97000000000001,43.89,47.1202
49,20151,35.457,38.4668,43.3168,48.4068,51.21660000000001,49.0434,44.60999999999999,48.1934
50,20152,38.09,42.14659999999999,48.3734,54.8266,56.47000000000001,52.1866,48.25980000000001,51.0
51,20164,36.2,38.86659999999999,42.02,48.39,51.4834,49.65339999999999,45.4434,46.50320000000001
52,20165,40.433400000000006,43.11999999999999,46.40660000000001,51.81660000000001,53.9168,51.51000000000001,48.1668,49.9798
53,20166,32.84,33.03,34.2366,40.28,42.42659999999999,40.4834,36.0298,39.4132
54,22079,33.293400000000005,39.1366,43.5966,46.39,44.9766,39.1166,32.91,32.1034
55,20170,34.940000000000005,35.1798,36.2502,40.50019999999999,42.0732,40.68679999999999,37.8368,41.8502
56,20171,32.160000000000004,32.0466,33.7666,38.0202,40.3168,39.40660000000001,37.0366,40.1232
57,22205,12.5298,12.7632,12.7832,13.1198,14.2768,14.87,15.3964,13.63
58,22206,9.5598,9.8166,10.8334,12.1032,12.6932,13.2434,12.5536,11.1532
59,22207,13.71,13.8666,13.7202,14.2534,14.7634,15.5966,16.41,14.8366
60,22209,8.609800000000002,8.7734,8.78,9.239999999999998,9.7934,10.36,10.6698,10.1332
61,22301,9.12,8.870000000000003,9.1834,10.3566,11.7798,12.4432,11.2932,10.4532
62,22302,10.38,10.8034,12.2768,14.4464,14.810199999999998,15.0598,13.4332,11.9064
63,22303,18.0866,18.2532,20.3564,24.1766,25.6468,25.14,21.7064,20.5668
64,20190,28.2668,28.3666,28.7,31.5168,34.6266,34.459999999999994,31.3302,30.9034
65,20191,29.6366,29.850199999999994,30.279999999999994,33.3798,35.84,35.8034,32.8134,32.6968
66,22003,22.3934,25.5266,28.5166,35.7166,34.5834,32.1234,25.8566,23.7234
67,22015,27.17,31.3532,37.6634,41.62,42.17,37.0564,30.8568,29.5834
68,22030,27.4202,29.2202,31.093200000000003,34.7966,38.2966,37.86,34.0236,33.27
69,22304,16.1432,18.7966,22.4232,28.84,27.92,25.6232,19.823600000000006,17.330000000000002
70,22305,6.683399999999999,6.4468000000000005,6.7067999999999985,7.6,8.6868,8.9866,8.163400000000001,7.2766
71,22306,28.8798,30.4068,34.3836,38.24,38.77,36.71,33.5534,33.7732
72,22307,17.63,17.6766,19.9566,23.7632,25.0434,24.71,21.5,20.24
73,22102,22.7534,22.8166,23.29,25.6534,27.8932,28.64,25.37,25.24
74,22124,33.2366,35.36,38.39999999999999,42.34680000000001,45.0868,43.4232,39.7868,43.9066
75,22150,18.8534,22.9132,27.2134,31.8702,31.636600000000005,29.43,22.2202,20.0732
76,22151,21.5836,25.49,30.71660000000001,35.8334,35.00980000000001,32.4902,25.3366,23.1566
77,22152,22.85,26.5434,31.6232,37.2832,36.1368,33.366600000000005,26.2968,24.2534
78,22153,25.2602,29.190000000000005,33.89,38.96,38.8668,35.80980000000001,28.7666,26.49
79,22031,23.503200000000003,23.7432,24.56,27.34,29.7768,30.3168,27.07,26.8598
80,22032,28.059800000000006,33.53000000000001,39.5534,43.2666,44.3566,39.13680000000001,31.92,30.7498
81,22041,16.5366,17.3834,18.943400000000004,21.9934,22.65,22.42,20.0998,18.6564
82,22042,19.4068,19.82,21.43,24.3702,25.4532,26.2766,23.023200000000006,21.68
83,22043,15.460000000000004,15.55,15.8068,17.79,19.6064,19.8268,18.12,17.4602
84,22044,16.163400000000006,16.103199999999998,17.1602,19.5636,20.8168,21.163400000000006,18.9102,17.576600000000006
85,22180,24.5802,25.1134,25.663,28.46660000000001,30.9566,31.9434,28.5232,28.33
86,22181,29.6866,30.4234,31.8666,36.74980000000001,38.7868,37.8766,35.2932,37.21660000000001
87,22182,24.5466,24.7368,25.1998,27.553,29.7468,30.476800000000004,27.3036,27.200199999999995
88,22046,17.519799999999996,17.666800000000006,18.1034,20.3402,23.1532,22.4934,20.5236,20.11
89,22191,44.7368,52.0366,57.6066,58.1732,53.0634,45.8434,38.9766,38.6436
90,22192,40.1902,50.71659999999999,56.2402,57.4768,52.8434,45.4434,39.3032,38.2934
91,22201,9.82,10.03,10.3764,10.7636,10.94,11.2666,11.3434,11.153199999999998
92,22202,0.5466000000000001,0.5635999999999999,0.583,0.6102000000000001,0.6602,0.6766,0.6934000000000001,0.6902000000000001
93,22203,11.723400000000002,11.8868,12.5036,14.1398,15.2434,15.8868,14.48,13.25
94,22204,9.3532,9.4934,10.0766,10.5702,10.8032,11.286399999999995,11.28,11.1168
95,20016,17.6468,18.009999999999994,18.3,19.2,21.6268,23.3632,22.8634,21.6
96,20017,18.4966,20.9868,22.3766,25.2034,25.7068,27.2166,26.25,25.51
97,20018,17.6966,19.9732,22.1134,24.2232,24.18,26.4398,26.4598,23.7966
98,20019,18.0032,21.15,23.1568,25.8868,26.0134,26.7202,24.07,21.7202
99,20036,16.753400000000006,17.043200000000002,17.3966,18.3266,18.986600000000006,20.6,23.2034,23.68
100,20037,10.683599999999998,10.79,10.9102,11.1898,11.7932,12.1634,12.330000000000002,12.0202
101,20005,13.1732,13.429999999999998,12.7434,13.15,12.859800000000002,13.1934,13.9064,14.2668
102,20007,16.1502,16.5034,16.7334,17.4998,18.6532,20.1098,19.5234,19.4366
103,20008,20.7366,21.2434,21.6534,22.6736,24.0366,26.3034,30.4166,29.8132
104,20009,20.2598,21.543199999999995,22.9866,24.8134,26.616999999999997,27.5302,27.6034,27.9668
105,20010,21.1668,22.9864,24.7332,26.9732,29.7234,30.510200000000005,30.8534,31.1436
106,20011,21.1132,23.9432,25.32,28.0536,28.7232,29.9668,29.2502,28.6668
107,20012,28.343200000000003,31.7834,33.529999999999994,37.6336,39.2432,40.1134,37.7398,37.7
108,20015,28.7966,31.9236,33.3866,36.47,38.75019999999999,38.49,37.24679999999999,37.4234
109,20020,12.9668,14.7602,15.98,19.9432,20.5236,21.9898,19.423,16.7468
110,20024,6.803400000000001,6.9866,6.92,7.2734,7.683400000000002,7.819800000000001,8.0866,7.783199999999999
111,20001,9.1868,10.080000000000002,10.463399999999998,12.01,11.9766,12.4466,11.64,11.206599999999998
112,20032,12.246399999999998,14.04,14.9034,18.876600000000003,19.3468,20.76,18.6498,15.573399999999998
113,20002,16.1966,18.3,19.82,22.7666,22.7468,24.56,24.6234,22.3664
114,20003,7.7799999999999985,9.0966,10.2532,12.856599999999995,12.3468,13.006599999999995,11.3602,9.886599999999998
