STUSPS,ZCTA5CE10,ct_06:00,ct_06:30,ct_07:00,ct_07:30,ct_08:00,ct_08:30,ct_09:00,ct_09:30
MD,"20903","35.9334","43.693200000000004","46.8932","50.186600000000006","49.94000000000001","46.8766","41.290000000000006","36.910000000000004"
MD,"20715","42.4998","48.839999999999996","55.553399999999996","57.276599999999995","57.8668","53.1632","46.053399999999996","41.826800000000006"
MD,"20716","39.6434","47.4834","54.260000000000005","56.0366","56.873400000000004","51.806799999999996","44.67999999999999","40.660000000000004"
MD,"20720","38.2502","46.236799999999995","50.6466","53.326800000000006","54.756600000000006","51.6768","43.6","39.79"
MD,"20774","38.09660000000001","46.493399999999994","52.10659999999999","55.919799999999995","56.8066","51.9134","44.3232","40.6934"
MD,"20781","26.2168","32.023399999999995","35.3202","38.056799999999996","39.2702","39.526599999999995","34.736599999999996","30.6"
MD,"20910","32.7868","36.4134","39.0332","42.086400000000005","44.5034","44.71999999999999","44.0734","43.4834"
MD,"20912","26.6964","31.013599999999997","32.2334","36.7932","40.806599999999996","38.89659999999999","36.3702","36.0798"
MD,"20782","36.3498","41.0766","44.7736","48.163199999999996","50.1766","46.836800000000004","41.3466","36.836400000000005"
MD,"20772","40.4268","45.3332","51.89","52.4002","52.5","48.1964","43.563199999999995","42.123400000000004"
MD,"20607","37.1334","41.226600000000005","49.239999999999995","50.9632","47.123400000000004","44.256800000000005","38.693200000000004","36.1466"
MD,"20783","31.6498","36.19019999999999","38.1336","42.4198","47.3902","44.543400000000005","42.1","41.940000000000005"
MD,"20784","24.7866","30.369999999999997","33.393600000000006","38.0034","38.703199999999995","38.226800000000004","33.47","28.9634"
MD,"20785","25.723200000000002","31.82","35.3732","40.382999999999996","40.2398","40.57","34.74999999999999","30.093"
MD,"20721","38.470000000000006","46.3166","51.756600000000006","54.4834","55.8334","51.410000000000004","44.299800000000005","40.14"
MD,"20722","19.8168","23.3266","25.490000000000002","27.689999999999998","27.7334","29.3834","29.406799999999997","26.8234"
MD,"20724","39.7034","49.013400000000004","52.34680000000001","56.05","55.923399999999994","53.03680000000001","47.583200000000005","41.4168"
MD,"20735","33.803399999999996","40.6198","46.0502","48.790000000000006","49.6566","45.013400000000004","38.2134","36.236599999999996"
MD,"20737","25.2132","30.85","34.14659999999999","38.910000000000004","39.35","38.2934","33.556799999999996","28.9432"
MD,"20740","35.0002","43.18320000000001","45.8966","48.9634","48.69","45.406600000000005","40.1032","36.1866"
MD,"20742","38.14640000000001","43.31999999999999","46.8266","50.166599999999995","52.870000000000005","49.0668","44.3666","40.223200000000006"
MD,"20812","22.86","22.336599999999997","24.0032","26.0132","27.1168","28.933600000000002","26.869999999999997","24.4266"
MD,"20814","29.5234","29.9634","31.3236","33.4132","35.756600000000006","38.373200000000004","36.88999999999999","34.846599999999995"
MD,"20815","29.8034","30.4634","32.1198","33.38340000000001","37.12","40.3166","43.20360000000001","41.1868"
MD,"20816","23.273199999999996","23.5432","23.8932","24.9334","27.340200000000003","28.056599999999996","27.93","26.396799999999995"
MD,"20817","25.3232","25.623199999999997","26.6166","27.916800000000002","29.8936","31.830000000000002","30.2134","28.2034"
MD,"20818","23.54","23.593600000000002","24.51","25.6764","26.869799999999998","28.123199999999997","26.690000000000005","25.0432"
MD,"20743","28.059999999999995","31.4966","35.04","38.703199999999995","38.689800000000005","37.5466","33.1066","30.27"
MD,"20744","27.6632","31.46","36.6332","42.6466","39.5066","37.339800000000004","31.403600000000004","28.080000000000002"
MD,"20745","18.4732","22.126600000000003","24.4732","29.3166","29.693399999999997","29.973399999999998","25.660000000000004","22.72"
MD,"20746","22.193400000000004","25.846600000000002","29.293400000000002","35.0466","36.236599999999996","32.7534","27.583199999999998","23.7532"
MD,"20850","31.023400000000002","32.5366","36.1432","40.3432","43.406600000000005","45.243399999999994","40.3968","37.6832"
MD,"20851","37.71339999999999","39.156600000000005","42.9","46.743399999999994","50.3632","50.56320000000001","47.31","43.81680000000001"
MD,"20705","37.273199999999996","45.440000000000005","48.439800000000005","51.8932","51.5866","47.873200000000004","42.263400000000004","37.86659999999999"
MD,"20747","26.276599999999995","29.773200000000003","33.220000000000006","37.760000000000005","37.2866","36.3032","31.2966","28.8166"
MD,"20748","26.656599999999997","32.2632","36.64320000000001","41.22","42.153200000000005","38.736799999999995","33.596799999999995","30.2702"
MD,"20706","29.5166","38.5434","43.2934","46.0132","47.24679999999999","44.42999999999999","38.58","33.9"
MD,"20707","43.510000000000005","51.253600000000006","55.923399999999994","58.5834","58.1802","54.273199999999996","49.5934","44.870000000000005"
MD,"20708","37.1098","45.9366","48.7598","52.089800000000004","51.483399999999996","47.79","42.2498","37.8968"
MD,"20710","23.3134","28.8166","31.936600000000006","36.47019999999999","37.2832","36.780199999999994","31.910000000000004","27.5066"
MD,"20711","47.513400000000004","52.483399999999996","58.8836","58.523399999999995","57.4568","51.019800000000004","48.6568","47.100199999999994"
MD,"20712","22.2866","25.843399999999995","28.48","31.9934","32.4534","34.0668","32.596999999999994","30.373399999999997"
MD,"20852","31.05","32.2902","34.62","37.2868","39.7966","42.4532","39.1664","36.89"
MD,"20853","39.279999999999994","40.623400000000004","44.6534","49.1766","54.4668","53.8966","50.28340000000001","46.090199999999996"
MD,"20854","30.7502","31.0768","33.1134","36.2136","39.056799999999996","39.273199999999996","36.9266","34.67"
MD,"21035","44.313199999999995","51.35","57.64300000000001","59.2266","59.506400000000006","54.6934","47.5832","43.486599999999996"
MD,"20623","36.6632","43.3464","48.7102","51.290000000000006","52.1032","47.4266","40.47","38.7566"
MD,"20762","30.563200000000002","38.409800000000004","43.81680000000001","49.720000000000006","47.1668","42.236599999999996","36.6934","34.6034"
MD,"20769","37.410000000000004","45.156600000000005","47.203599999999994","49.756600000000006","49.8432","46.3532","41.019999999999996","37.763200000000005"
MD,"20770","29.5734","38.39","40.6398","44.4366","44.0766","42.1002","37.489999999999995","33.3532"
MD,"20877","38.766799999999996","40.7466","46.4664","53.1832","55.81020000000001","54.970000000000006","49.469800000000006","45.382999999999996"
MD,"20878","39.1234","40.24","44.7266","49.123200000000004","52.8436","54.129999999999995","49.18","46.49"
MD,"20880","39.7568","41.2832","47.1534","53.6934","57.916599999999995","56.8366","51.5198","47.513200000000005"
MD,"20886","40.7934","43.83","49.806799999999996","56.82000000000001","59.1102","56.773199999999996","51.42999999999999","46.67659999999999"
MD,"20895","31.380000000000003","31.973399999999998","33.989999999999995","36.470000000000006","38.7266","41.0432","39.4632","37.3664"
MD,"20896","34.46339999999999","34.91","36.8566","40.1632","43.809999999999995","44.0298","41.633399999999995","39.3966"
MD,"20899","36.919999999999995","38.8866","44.5168","50.92","53.6102","52.96999999999999","47.5202","43.220000000000006"
MD,"20901","39.3734","47.29","50.2432","53.8532","53.5536","49.85000000000001","44.4602","40.4766"
VA,"22309","25.539799999999996","27.1166","29.873200000000004","35.5366","36.2434","34.44","31.51","30.8534"
VA,"22310","20.8702","23.906399999999998","28.9668","35.303399999999996","34.773399999999995","30.573400000000003","25.4666","23.6866"
VA,"22311","12.350200000000001","13.360000000000003","15.35","19.1402","18.7934","18.1966","15.6334","13.530000000000001"
VA,"22312","15.079999999999998","17.589999999999996","20.906600000000005","27.576800000000002","26.096600000000002","23.7498","18.19","15.723400000000002"
VA,"22314","12.0166","11.8268","12.48","14.4402","16.2868","16.4232","14.7","13.8868"
VA,"22315","22.880000000000003","26.810000000000002","31.2134","36.413399999999996","35.943200000000004","33.8802","26.6036","24.0832"
VA,"20120","38.62","42.383399999999995","48.4366","54.64000000000001","54.54","50.7534","46.8266","50.1336"
VA,"20124","39.9332","43.5132","48.4734","53.7632","53.6734","50.49","46.91","50.029999999999994"
VA,"20147","43.17","43.4768","45.836600000000004","51.603199999999994","53.75","50.25","46.959799999999994","49.2732"
VA,"20148","40.343399999999995","40.6132","41.9868","48.7734","51.0734","47.970000000000006","43.89","47.1202"
VA,"20151","35.457","38.4668","43.3168","48.406800000000004","51.21660000000001","49.0434","44.60999999999999","48.1934"
VA,"20152","38.089999999999996","42.14659999999999","48.3734","54.8266","56.470000000000006","52.1866","48.259800000000006","51.0"
VA,"20164","36.2","38.86659999999999","42.019999999999996","48.39","51.4834","49.65339999999999","45.443400000000004","46.50320000000001"
VA,"20165","40.433400000000006","43.11999999999999","46.406600000000005","51.81660000000001","53.9168","51.510000000000005","48.1668","49.9798"
VA,"20166","32.839999999999996","33.03","34.236599999999996","40.28","42.42659999999999","40.4834","36.0298","39.4132"
VA,"22079","33.293400000000005","39.1366","43.5966","46.39","44.9766","39.1166","32.91","32.1034"
VA,"20170","34.940000000000005","35.1798","36.2502","40.50019999999999","42.0732","40.68679999999999","37.836800000000004","41.850199999999994"
VA,"20171","32.160000000000004","32.0466","33.7666","38.0202","40.3168","39.406600000000005","37.0366","40.1232"
VA,"22205","12.5298","12.763200000000001","12.783199999999999","13.119800000000001","14.2768","14.87","15.3964","13.63"
VA,"22206","9.5598","9.8166","10.8334","12.103200000000001","12.693200000000001","13.2434","12.5536","11.1532"
VA,"22207","13.709999999999999","13.8666","13.7202","14.2534","14.7634","15.596599999999999","16.41","14.836599999999999"
VA,"22209","8.609800000000002","8.7734","8.78","9.239999999999998","9.7934","10.36","10.6698","10.133199999999999"
VA,"22211","9.3366","9.4168","9.6602","10.09","10.7368","11.653599999999999","12.1634","11.486799999999999"
VA,"22213","15.3768","15.570000000000002","15.836599999999999","17.23","17.9434","18.6736","18.4002","17.2832"
VA,"22214","7.803399999999999","7.9134","8.2968","8.5368","8.5502","9.059999999999999","9.253200000000001","9.03"
VA,"22301","9.120000000000001","8.870000000000001","9.1834","10.3566","11.7798","12.443200000000001","11.293199999999999","10.4532"
VA,"22302","10.379999999999999","10.8034","12.276800000000001","14.4464","14.810199999999998","15.0598","13.4332","11.9064"
VA,"22303","18.0866","18.2532","20.3564","24.1766","25.646800000000002","25.139999999999997","21.7064","20.5668"
VA,"22101","15.906600000000001","16.04","16.826800000000002","17.9466","18.5734","20.7066","19.4068","17.986600000000003"
VA,"20190","28.2668","28.3666","28.7","31.5168","34.626599999999996","34.459999999999994","31.3302","30.903399999999998"
VA,"20191","29.636599999999998","29.850199999999994","30.279999999999994","33.3798","35.839999999999996","35.803399999999996","32.8134","32.696799999999996"
VA,"20194","30.5332","32.2798","34.959999999999994","40.3566","42.5266","41.01","37.99320000000001","39.9332"
VA,"22003","22.3934","25.526600000000002","28.5166","35.7166","34.5834","32.1234","25.856599999999997","23.723399999999998"
VA,"22015","27.169999999999998","31.353199999999998","37.663399999999996","41.62","42.169999999999995","37.0564","30.8568","29.5834"
VA,"22027","18.4666","18.733600000000003","19.113400000000002","21.35","23.406799999999997","24.056800000000003","21.5532","20.909799999999997"
VA,"22030","27.4202","29.2202","31.093200000000003","34.7966","38.2966","37.86","34.0236","33.269999999999996"
VA,"22304","16.1432","18.7966","22.4232","28.839999999999996","27.919999999999998","25.623199999999997","19.823600000000006","17.330000000000002"
VA,"22305","6.683399999999999","6.4468000000000005","6.706799999999999","7.6","8.6868","8.9866","8.163400000000001","7.2766"
VA,"22306","28.8798","30.406799999999997","34.3836","38.239999999999995","38.77","36.709999999999994","33.5534","33.773199999999996"
VA,"22307","17.63","17.6766","19.9566","23.7632","25.043400000000002","24.71","21.5","20.240000000000002"
VA,"22308","24.27","25.7666","28.166800000000002","32.957","34.2766","32.8968","29.9866","28.9664"
VA,"22102","22.7534","22.8166","23.29","25.653399999999998","27.8932","28.639999999999997","25.369999999999997","25.240000000000002"
VA,"22124","33.236599999999996","35.36","38.39999999999999","42.34680000000001","45.0868","43.4232","39.7868","43.9066"
VA,"22125","35.71","41.6466","46.48","50.2334","47.6632","40.6702","34.1266","33.439800000000005"
VA,"22150","18.8534","22.9132","27.2134","31.8702","31.636600000000005","29.43","22.220200000000002","20.0732"
VA,"22151","21.5836","25.490000000000002","30.716600000000007","35.8334","35.009800000000006","32.4902","25.3366","23.1566"
VA,"22152","22.85","26.5434","31.623199999999997","37.2832","36.1368","33.366600000000005","26.2968","24.2534"
VA,"22153","25.260199999999998","29.190000000000005","33.89","38.96","38.8668","35.80980000000001","28.7666","26.49"
VA,"22031","23.503200000000003","23.7432","24.56","27.339999999999996","29.776799999999998","30.3168","27.07","26.8598"
VA,"22032","28.059800000000003","33.53000000000001","39.5534","43.2666","44.3566","39.13680000000001","31.919999999999998","30.7498"
VA,"22033","27.156799999999997","29.07","31.27","35.723200000000006","38.4802","38.0532","33.946600000000004","33.14"
VA,"22035","29.82","31.830000000000005","35.1066","39.31","41.3232","39.9166","36.339999999999996","39.3568"
VA,"22039","38.2766","44.2164","48.6366","51.6","49.996399999999994","44.3402","38.0766","37.6868"
VA,"22041","16.5366","17.3834","18.943400000000004","21.9934","22.65","22.419999999999998","20.0998","18.656399999999998"
VA,"22042","19.406799999999997","19.82","21.43","24.3702","25.453200000000002","26.276600000000002","23.023200000000003","21.68"
VA,"22043","15.460000000000003","15.55","15.806799999999999","17.79","19.6064","19.8268","18.12","17.4602"
VA,"22044","16.163400000000003","16.103199999999998","17.1602","19.5636","20.8168","21.163400000000003","18.9102","17.576600000000003"
VA,"22180","24.580199999999998","25.1134","25.663","28.466600000000007","30.9566","31.943399999999997","28.523199999999996","28.330000000000002"
VA,"22181","29.6866","30.423399999999997","31.8666","36.74980000000001","38.7868","37.8766","35.2932","37.21660000000001"
VA,"22182","24.5466","24.736800000000002","25.1998","27.552999999999997","29.746799999999997","30.476800000000004","27.3036","27.200199999999995"
VA,"22185","24.8534","25.5402","26.7166","30.276400000000002","32.7532","33.53339999999999","30.0334","29.3368"
VA,"22046","17.519799999999996","17.666800000000002","18.1034","20.3402","23.1532","22.4934","20.5236","20.109999999999996"
VA,"22060","27.7834","33.6136","37.2632","41.14","40.21660000000001","36.6668","30.4668","29.006600000000002"
VA,"22066","34.373200000000004","35.9832","38.263400000000004","42.239999999999995","43.6434","42.8466","40.339999999999996","43.7034"
VA,"22191","44.7368","52.0366","57.6066","58.173199999999994","53.0634","45.843399999999995","38.9766","38.6436"
VA,"22192","40.1902","50.71659999999999","56.2402","57.476800000000004","52.843399999999995","45.4434","39.3032","38.2934"
VA,"22201","9.819999999999999","10.030000000000001","10.3764","10.7636","10.940000000000001","11.2666","11.343399999999999","11.153199999999998"
VA,"22202","0.5466000000000001","0.5635999999999999","0.583","0.6102000000000001","0.6602","0.6766","0.6934000000000001","0.6902000000000001"
VA,"22203","11.723400000000002","11.8868","12.5036","14.1398","15.2434","15.8868","14.48","13.25"
VA,"22204","9.3532","9.4934","10.0766","10.5702","10.8032","11.286399999999997","11.28","11.116800000000001"
DC,"20016","17.6468","18.009999999999998","18.3","19.2","21.6268","23.3632","22.863400000000002","21.6"
DC,"20017","18.4966","20.9868","22.376599999999996","25.2034","25.706799999999998","27.2166","26.25","25.509999999999998"
DC,"20018","17.6966","19.9732","22.1134","24.2232","24.18","26.4398","26.4598","23.7966"
DC,"20019","18.0032","21.15","23.1568","25.8868","26.0134","26.7202","24.07","21.7202"
DC,"20045","9.4032","9.6968","9.51","9.759799999999998","9.743199999999998","9.896600000000001","10.4566","10.503400000000001"
DC,"20052","11.2634","11.420000000000002","11.45","12.0032","12.2102","12.5566","12.8332","12.8332"
DC,"20053","10.0166","10.993599999999999","11.8402","13.780000000000001","13.843399999999999","14.236600000000001","13.296800000000001","12.3468"
DC,"20057","12.676599999999999","12.7966","13.103399999999999","13.7166","14.9434","16.189799999999998","15.969799999999998","15.5"
DC,"20064","19.2668","21.913400000000003","22.9966","25.806599999999996","26.169999999999998","27.65","27.1498","26.919999999999998"
DC,"20202","7.4902","8.0366","8.0864","8.796600000000002","9.0602","9.25","9.3432","8.9932"
DC,"20204","6.1802","6.909999999999999","7.363200000000001","8.5534","8.243199999999998","8.5634","7.8866","7.3268"
DC,"20036","16.753400000000003","17.043200000000002","17.3966","18.3266","18.986600000000003","20.6","23.2034","23.68"
DC,"20228","4.82","5.0001999999999995","4.7568","5.066799999999999","5.2234","5.1932","5.506600000000001","5.28"
DC,"20037","10.683599999999998","10.790000000000001","10.9102","11.1898","11.793199999999999","12.1634","12.330000000000002","12.020199999999999"
DC,"20230","7.0866","7.4666","7.253399999999999","7.553399999999999","7.4398","7.5200000000000005","8.05","8.0068"
DC,"20240","9.913400000000001","10.5566","10.6368","11.4834","11.4298","11.8734","13.0702","13.053199999999999"
DC,"20245","10.180000000000001","10.749999999999998","10.756799999999998","11.466800000000001","11.493199999999998","11.926399999999997","13.259800000000002","12.919799999999999"
DC,"20260","8.1068","8.5232","8.6634","9.406600000000001","9.8366","10.1366","10.293199999999999","9.8466"
DC,"20307","27.120000000000005","30.620000000000005","32.2166","35.82","37.58","38.2598","36.6768","36.32"
DC,"20317","18.060200000000002","20.193399999999997","21.6332","24.406399999999998","24.676800000000004","25.963599999999996","25.5468","25.156599999999997"
DC,"20319","12.61","13.0268","13.0434","13.9466","14.98","15.096799999999998","15.723399999999998","15.5768"
DC,"20004","10.23","10.55","10.3232","10.6434","10.603200000000001","10.8602","11.4134","11.41"
DC,"20005","13.1732","13.429999999999998","12.7434","13.15","12.859800000000002","13.1934","13.9064","14.2668"
DC,"20006","12.0334","12.72","12.906600000000001","13.6734","14.153400000000001","14.709999999999999","16.166800000000002","16.3434"
DC,"20007","16.1502","16.5034","16.7334","17.4998","18.6532","20.1098","19.523400000000002","19.4366"
DC,"20008","20.7366","21.2434","21.653399999999998","22.6736","24.0366","26.3034","30.4166","29.813200000000002"
DC,"20009","20.259800000000002","21.543199999999995","22.9866","24.813399999999998","26.617","27.5302","27.6034","27.9668"
DC,"20010","21.166800000000002","22.9864","24.7332","26.9732","29.723399999999998","30.510200000000005","30.8534","31.1436"
DC,"20011","21.1132","23.943199999999997","25.32","28.0536","28.7232","29.9668","29.250199999999996","28.666800000000002"
DC,"20373","11.4632","12.5836","13.8168","16.853199999999998","18.1998","19.0402","16.67","14.469999999999999"
DC,"20012","28.343200000000003","31.7834","33.529999999999994","37.6336","39.2432","40.1134","37.7398","37.699999999999996"
DC,"20015","28.7966","31.9236","33.3866","36.47","38.75019999999999","38.489999999999995","37.24679999999999","37.4234"
DC,"20390","8.5134","9.3236","10.1732","12.4768","11.896799999999999","12.213400000000002","11.0466","10.33"
DC,"20405","10.6902","11.4532","11.473400000000002","12.413400000000001","12.35","12.796800000000001","13.919999999999998","14.103399999999999"
DC,"20418","9.383199999999999","9.49","9.6666","10.0","10.346799999999998","10.3834","10.8266","10.67"
DC,"20427","13.48","14.186599999999999","14.320000000000002","14.9632","15.62","16.056599999999996","17.4534","17.8066"
DC,"20020","12.966800000000001","14.760200000000001","15.98","19.9432","20.5236","21.9898","19.423","16.7468"
DC,"20506","10.773","11.3332","11.4934","12.2866","12.340200000000001","12.793199999999999","13.906600000000001","13.883600000000001"
DC,"20510","9.486399999999998","10.5368","11.073400000000001","12.8432","12.7332","13.616399999999999","13.146599999999998","12.530199999999999"
DC,"20024","6.803400000000001","6.9866","6.92","7.2734","7.683400000000001","7.819800000000001","8.0866","7.783199999999999"
DC,"20001","9.1868","10.080000000000002","10.463399999999998","12.01","11.976600000000001","12.4466","11.64","11.206599999999998"
DC,"20520","9.129999999999999","9.2668","9.38","9.8268","10.059999999999999","10.2866","10.506599999999999","10.593399999999999"
DC,"20032","12.246399999999998","14.040000000000001","14.9034","18.876600000000003","19.3468","20.759999999999998","18.6498","15.573399999999998"
DC,"20535","11.3666","11.5868","11.319799999999997","11.6634","11.6568","12.1232","12.669999999999998","12.720000000000002"
DC,"20002","16.1966","18.299999999999997","19.82","22.7666","22.746799999999997","24.56","24.6234","22.3664"
DC,"20540","9.14","10.0068","10.5632","12.1834","11.893199999999998","12.6","12.1634","10.966800000000001"
DC,"20551","9.046600000000002","9.546800000000001","9.5668","10.173399999999999","10.2668","10.6066","11.986799999999999","11.6632"
DC,"20553","7.437","8.010200000000001","8.0834","8.6268","8.8536","8.843399999999999","9.0168","8.64"
DC,"20003","7.779999999999999","9.0966","10.253200000000001","12.856599999999997","12.3468","13.006599999999997","11.3602","9.886599999999998"
DC,"20560","5.666600000000001","6.066599999999999","6.089999999999999","6.5935999999999995","6.7002","6.793200000000001","6.8302","6.4266000000000005"
DC,"20565","8.7668","9.26","9.41","9.8998","10.383199999999999","10.3732","10.573400000000001","10.4"
DC,"20566","10.176599999999999","10.3","10.4566","10.716800000000001","11.25","11.6798","11.870000000000001","11.5566"
DC,"20593","10.4834","11.4666","12.1298","13.88","13.7768","14.2","13.1202","12.349799999999998"
